"","domain","phylum","class","order","family","genus","species","strain"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_12_2311.71.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","UBA7057","UBA7057 sp900542735","UBA7057 sp900542735"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_6_2308.187.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA4636","Unknown_UBA4636","UBA4636 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_24_1920.278.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-451","Unknown_CAG-451","CAG-451 sp._5"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_6_2333.170.fa","Bacteria","Firmicutes","Bacilli","RFN20","CAG-826","RUG131","Unknown_RUG131","RUG131 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_7_2143.215.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Unknown_Rikenellaceae","Unknown_Rikenellaceae","Rikenellaceae unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_17_2661.90.fa","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","Unknown_Zag111","Zag111 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_1_2682.154.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","Unknown_CAG-272","Unknown_CAG-272","CAG-272 unk genus_5"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_5_2673.112.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","CAG-390","Unknown_CAG-390","CAG-390 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_9_2646.19.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","F23-B02","Unknown_F23-B02","F23-B02 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_12_1182.131.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-1000","Unknown_CAG-1000_1","CAG-1000 sp._6"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_12_1182.294.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UMGS1908","UMGS1908","Unknown_UMGS1908_1","UMGS1908 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_9_2667.163.fa","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Unknown_Veillonella","Veillonella sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_17_2476.72.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unknown_Lachnospiraceae","Unknown_Lachnospiraceae","Lachnospiraceae unk genus_10"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_19_2477.342.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1865","Unknown_UMGS1865","UMGS1865 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_J_13_1252.188.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","UBA5026","Unknown_UBA5026","UBA5026 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_19_2499.192.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-451","Unknown_CAG-451","CAG-451 sp._6"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_N_17_1305.87.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F","Unknown_Eubacterium_F","Eubacterium_F sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_O_8_2643.116.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Unknown_Lachnospira","Lachnospira sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_6_1188.41.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unknown_Lachnospiraceae","Unknown_Lachnospiraceae","Lachnospiraceae unk genus_11"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_8_1525.82.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-605","Unknown_CAG-605","CAG-605 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_4_2225.266.fa","Bacteria","Firmicutes_A","Clostridia","UMGS1883","Unknown_UMGS1883","Unknown_UMGS1883","Unknown_UMGS1883_2","Firmicutes_A unk_2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_6_2233.148.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp000433975","Eubacterium_R sp000433975"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_18_1662.164.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Unknown_Agathobacter","Agathobacter sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315.18.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-314","CAG-1435","Unknown_CAG-1435","CAG-1435 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315.315.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA4636","Unknown_UBA4636","UBA4636 sp._4"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315.330.fa","Bacteria","Firmicutes","Bacilli","RFN20","CAG-631","CAG-631","Unknown_CAG-631","CAG-631 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315.99.fa","Bacteria","Firmicutes_A","Clostridia","UMGS1883","UMGS1883","UMGS1883","Unknown_UMGS1883_1","UMGS1883 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_B_9_CHE0002SZ.93.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Unknown_Prevotella","Prevotella sp._7"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_15_CHE1003TZ.56.fa","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Unknown_Campylobacter","Campylobacter sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_7_CHE0004BZ.233.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._14"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_7_RAU0027AZ.270.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA4636","Unknown_UBA4636","UBA4636 sp._5"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_H_5_THA1064JZ.49.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","CAG-302","CAG-302 sp900548425","CAG-302 sp900548425"
"GUT_GENOME000513.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides bouchesdurhonensis","Bacteroides bouchesdurhonensis"
"GUT_GENOME000701.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A sp900066165","Blautia_A sp900066165"
"GUT_GENOME000977.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus_A","Coprococcus eutactus_A"
"GUT_GENOME001189.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas","Butyricimonas virosa","Butyricimonas virosa"
"GUT_GENOME001401.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-81","CAG-81 sp900066785","CAG-81 sp900066785"
"GUT_GENOME001751.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A sp900066335","Blautia_A sp900066335"
"GUT_GENOME009737.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA7597","UBA7597 sp900542935","UBA7597 sp900542935"
"GUT_GENOME011266.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1696","UMGS1696 sp900554225","UMGS1696 sp900554225"
"GUT_GENOME014237.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","Firm-07","Firm-07 sp900548735","Firm-07 sp900548735"
"GUT_GENOME043942.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp900317855","CAG-103 sp900317855_1"
"GUT_GENOME089567.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp001556435","Streptococcus sp001556435"
"GUT_GENOME091344.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA4285","UBA4285 sp900545225","UBA4285 sp900545225"
"GUT_GENOME094660.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster sp900541315","Enterocloster sp900541315"
"GUT_GENOME096067.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Blautia_A wexlerae","Blautia_A wexlerae"
"GUT_GENOME101256.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","SFFH01","SFFH01 sp900548125","SFFH01 sp900548125"
"GUT_GENOME101580.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster sp000431375","Enterocloster sp000431375"
"GUT_GENOME104932.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_I","Eubacterium_I ramulus","Eubacterium_I ramulus"
"GUT_GENOME115910.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","QAND01","UMGS1975","Unknown_UMGS1975","UMGS1975 sp."
"GUT_GENOME122583.fna","Bacteria","Firmicutes_C","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella multacida","Mitsuokella multacida"
"GUT_GENOME126655.fna","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Megasphaeraceae","Megasphaera","Megasphaera elsdenii","Megasphaera elsdenii"
"GUT_GENOME140311.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus_C","Ruminococcus_C callidus","Ruminococcus_C callidus"
"GUT_GENOME140345.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","UBA7182 sp003481535","UBA7182 sp003481535"
"GUT_GENOME142056.fna","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Senegalimassilia","Senegalimassilia anaerobia","Senegalimassilia anaerobia"
"GUT_GENOME142408.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Coprobacteraceae","Coprobacter","Coprobacter secundus","Coprobacter secundus"
"GUT_GENOME142522.fna","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium adolescentis"
"GUT_GENOME142525.fna","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum","Bifidobacterium bifidum"
"GUT_GENOME143357.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides ovatus"
"GUT_GENOME143713.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter rectalis"
"GUT_GENOME145587.fna","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Slackia_A","Slackia_A isoflavoniconvertens","Slackia_A isoflavoniconvertens"
"GUT_GENOME147854.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides caccae"
"GUT_GENOME147876.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae","Parabacteroides merdae"
"GUT_GENOME157782.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp900547745","CAG-83 sp900547745"
"GUT_GENOME192289.fna","Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Dialisteraceae","Allisonella","Allisonella histaminiformans","Allisonella histaminiformans"
"GUT_GENOME195227.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","Sutterella wadsworthensis","Sutterella wadsworthensis"
"GUT_GENOME229574.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","CAG-462","Unknown_CAG-462","CAG-462 sp."
"GUT_GENOME233192.fna","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis","Ligilactobacillus ruminis"
"GUT_GENOME239084.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UMGS1491","UMGS1491 sp900554335","UMGS1491 sp900554335"
"GUT_GENOME239670.fna","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudocatenulatum","Bifidobacterium pseudocatenulatum"
"GUT_GENOME258823.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","QANG01","Unknown_QANG01","QANG01 sp."
"GUT_GENOME280620.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-103","CAG-103 sp000432375","CAG-103 sp000432375"
"GUT_GENOME286047.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","AM51-8","AM51-8 sp003478275","AM51-8 sp003478275"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.114.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","Unknown_CAG-272","Unknown_CAG-272","CAG-272 unk genus_6"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.348.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas","Unknown_Butyricimonas","Butyricimonas sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_G_11_1585.18.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","Unknown_CAG-170","CAG-170 sp._23"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_14_1160.223.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UBA5905","Unknown_UBA5905","UBA5905 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_22_1662.266.fa","Bacteria","Firmicutes","Bacilli","RFN20","CAG-449","CAG-449","CAG-449 sp900551385","CAG-449 sp900551385"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_12_1819.211.fa","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","QAMH01","Unknown_QAMH01","Unknown_QAMH01","QAMH01 unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_8_1817.268.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","Unknown_CAG-83","CAG-83 sp._13"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_1_1719.329.fa","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","UBA1191","UBA1191 sp900549125","UBA1191 sp900549125"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_16_1210.104.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UMGS1484","UMGS1484 sp900552285","UMGS1484 sp900552285"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_16_1210.240.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unknown_Oscillospiraceae","Unknown_Oscillospiraceae","Oscillospiraceae unk genus_8"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_2_1112.539.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Negativibacillus","Negativibacillus sp900547015","Negativibacillus sp900547015"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_12_2317.345.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Anaerobutyricum hallii"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_23_RAJ0016YZ.144.fa","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","CAG-238","Unknown_CAG-238","CAG-238 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_3_THA1067YZ_1.87.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Unknown_Acutalibacteraceae","Unknown_Acutalibacteraceae","Acutalibacteraceae unk genus_5"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_5_THA1074JZ.146.fa","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Duodenibacillus","Duodenibacillus massiliensis","Duodenibacillus massiliensis"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_D_9_CHE0010BZ.14.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900317585","Agathobacter sp900317585"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_15_RAU1013YZ.36.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA7597","UBA7597 sp003448195","UBA7597 sp003448195"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_7_RAU0027AZ.8.fa","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","CAG-312","CAG-312","CAG-312 sp002437405","CAG-312 sp002437405"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_H_13_CHE1006Z.130.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Unknown_Ruminococcus_E","Ruminococcus_E sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_H_19_RAJ0022YZ.18.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA10281","UBA10281 sp000437515","UBA10281 sp000437515"
"GUT_GENOME000518.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii","Flavonifractor plautii"
"GUT_GENOME000838.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis","Barnesiella intestinihominis"
"GUT_GENOME000967.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Anaerotignum sp000436415","Anaerotignum sp000436415"
"GUT_GENOME001120.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides thetaiotaomicron"
"GUT_GENOME001396.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola massiliensis","Phocaeicola massiliensis"
"GUT_GENOME001745.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides nordii","Bacteroides nordii"
"GUT_GENOME007882.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-382","UMGS882","Unknown_UMGS882","UMGS882 sp."
"GUT_GENOME008492.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia sp900550935","Roseburia sp900550935"
"GUT_GENOME010707.fna","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","CAG-269 sp000438255","CAG-269 sp000438255"
"GUT_GENOME013112.fna","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UBA2883","UBA2883 sp002103075","UBA2883 sp002103075"
"GUT_GENOME027748.fna","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bulleidia sp900539965","Bulleidia sp900539965"
"GUT_GENOME096016.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides xylanisolvens"
"GUT_GENOME103805.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides finegoldii","Bacteroides finegoldii"
"GUT_GENOME119779.fna","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._15"
"GUT_GENOME140786.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus_D","Ruminococcus_D bicirculans","Ruminococcus_D bicirculans"
"GUT_GENOME143156.fna","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelatoclostridium","Erysipelatoclostridium sp003024675","Erysipelatoclostridium sp003024675"
"GUT_GENOME155959.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","TF01-11","TF01-11 sp003149875","TF01-11 sp003149875"
"GUT_GENOME170578.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R sp900539165","Eubacterium_R sp900539165"
"GUT_GENOME239280.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium sp900551435","Faecalibacterium sp900551435"
"GUT_GENOME239725.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius_A","Phocaeicola plebeius_A"
"GUT_GENOME245758.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruminiclostridium_E","Ruminiclostridium_E sp900539195","Ruminiclostridium_E sp900539195"
"GUT_GENOME250728.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-882","CAG-882 sp900545175","CAG-882 sp900545175"
"GUT_GENOME252881.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","Coprococcus eutactus","Coprococcus eutactus"
"GUT_GENOME253317.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","Unknown_CAG-83","CAG-83 sp._14"
"GUT_GENOME256115.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","Unknown_CAG-83","CAG-83 sp._15"
"REFINED_METABAT215_SUBJECT_CONTIGS_1500_ASSEMBLY_K77_MERGED__Pilot_MoBio_Fiber_G_23_1002.37.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-433","CAG-594","CAG-594 sp900547225","CAG-594 sp900547225"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_24_1627.58.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Unknown_Acetatifactor","Acetatifactor sp._6"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_2_2152.88.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","CAG-822","Unknown_CAG-822_1","CAG-822 sp."
